ID,Title,WP_page_title,First_weekend_revenue_USD,Number_of theaters,Date_of_release,Inception_of_article_(movie_time_days),SearchForWPonly,Views60,Users60,Rigor60,Edits60,Views50,Users50,Rigor50,Edits50,Views40,Users40,Rigor40,Edits40,Views30,Users30,Rigor30,Edits30,Views20,Users20,Rigor20,Edits20,Views10,Users10,Rigor10,Edits10
129,Kick-Ass,Kick-Ass_(film),19828687,3065,4/16/10,443,0,735156,146,168,210,783505,158,187,232,831780,172,198,245,927385,212,230,291,1083335,242,276,344,1340738,337,406,544
130,Killers,Killers_(2010_film),15837266,2859,6/4/10,146,0,68474,29,38,46,80919,30,42,50,92613,35,46,54,105699,39,50,59,126241,47,56,65,146091,52,62,71
131,Kites,Kites_(film),959329,207,5/21/10,783,0,416630,220,222,296,452944,278,270,388,490339,288,295,448,525890,308,316,476,570495,342,358,548,626606,380,387,613
132,Kites The Remix,Kites:_The_Remix,24869,40,5/28/10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Knight and Day,Knight_and_Day,20139985,3098,6/23/10,260,0,189617,93,95,134,202130,89,97,137,219829,96,103,144,238736,101,106,148,262965,110,116,158,300687,124,128,175
134,La Soga,La_Soga,52554,11,8/13/10,461,0,2276,8,10,13,2347,8,10,13,2392,8,10,13,2440,8,10,13,2567,8,10,13,2843,8,10,13
135,Leap Year,Leap_Year_(2010_film),9202815,2511,1/8/10,82,0,4371,7,11,29,9977,10,13,32,13876,12,15,35,21248,16,21,41,34178,25,29,52,55858,33,41,66
136,Legendary,Legendary_(film),126964,177,9/10/10,61,0,883,5,6,11,3028,10,11,25,6938,12,12,26,18063,16,16,34,25418,17,19,37,32918,20,22,41
137,Legend of the Guardians The Owls of Ga%27Hoole,Legend_of_the_Guardians:_The_Owls_of_Ga%27Hoole,16112211,3575,9/24/10,677,0,334883,162,177,254,364522,175,196,285,386227,184,205,303,411738,204,217,325,446229,213,229,343,492658,218,254,379
138,Legion,Legion_(2010_film),17501625,2476,1/22/10,554,0,518353,48,50,70,538675,49,53,73,563223,59,62,83,599805,64,68,90,703494,90,91,120,852575,110,113,150
139,Let Me In,Let_Me_In_(film),5147479,2020,10/1/10,442,0,267397,99,128,204,310735,111,135,212,340815,117,144,228,367028,124,152,237,456970,137,160,245,562407,138,174,262
140,Letters to God,Letters_to_God,1088873,897,4/9/10,198,0,9631,6,18,42,10244,6,18,42,11412,6,18,43,12290,6,18,43,13236,6,18,43,14791,8,20,45
141,Letters to Juliet,Letters_to_Juliet,13540486,2968,5/14/10,128,0,69427,13,13,14,78759,15,15,16,90461,16,16,17,101524,17,17,18,131960,23,23,24,157823,29,30,31
142,Life as We Know It,Life_as_We_Know_It_(film),14506464,3150,10/8/10,165,0,75425,10,10,13,86854,10,10,13,98815,10,11,14,116265,13,13,16,137245,18,19,25,168844,22,23,29
143,Like Dandelion Dust,Like_Dandelion_Dust,77960,25,9/24/10,386,0,12974,11,14,34,13493,11,14,34,14159,11,14,34,15934,11,14,34,17028,12,15,35,18328,12,15,35
